TIME	H	V	T	P
0.000000e+000	-2.708914e+001	-1.250436e+003	4.644234e+002	-1.174975e-025
2.000000e+000	-2.705903e+001	-3.943404e+002	1.394323e+002	2.098274e-001
4.000000e+000	-2.706184e+001	-3.494032e+002	1.223715e+002	3.208407e+000
6.000000e+000	-2.706333e+001	-3.577878e+002	1.255541e+002	3.669713e+000
8.000000e+000	-2.706242e+001	-3.404219e+002	1.189617e+002	1.695710e+000
1.000000e+001	-2.706179e+001	-3.384907e+002	1.182288e+002	6.256010e+000
1.200000e+001	-2.706293e+001	-3.494098e+002	1.223736e+002	2.744537e+000
1.400000e+001	-2.706446e+001	-3.605120e+002	1.265878e+002	3.627771e+000
1.600000e+001	-2.706391e+001	-3.673099e+002	1.291687e+002	3.375869e+000
1.800000e+001	-2.706407e+001	-3.592181e+002	1.260968e+002	1.852075e+000
2.000000e+001	-2.706260e+001	-3.237300e+002	1.126249e+002	3.082968e+000
2.200000e+001	-2.706445e+001	-3.529562e+002	1.237194e+002	2.731865e+000
2.400000e+001	-2.706422e+001	-3.401303e+002	1.188503e+002	2.138850e+000
2.600000e+001	-2.706356e+001	-3.285145e+002	1.144409e+002	5.950483e+000
2.800000e+001	-2.706418e+001	-3.436530e+002	1.201877e+002	4.046022e+000
3.000000e+001	-2.706484e+001	-3.520535e+002	1.233766e+002	2.261680e+000
3.200000e+001	-2.706391e+001	-3.612013e+002	1.268497e+002	3.723151e+000
3.400000e+001	-2.706475e+001	-3.352808e+002	1.170091e+002	4.627132e+000
3.600000e+001	-2.706481e+001	-3.463500e+002	1.212113e+002	3.628850e+000
3.800000e+001	-2.706576e+001	-3.739086e+002	1.316731e+002	2.892424e+000
4.000000e+001	-2.706530e+001	-3.480648e+002	1.218621e+002	3.390375e+000
4.200000e+001	-2.706487e+001	-3.363849e+002	1.174282e+002	2.536450e+000
4.400000e+001	-2.706507e+001	-3.343083e+002	1.166398e+002	2.729095e+000
4.600000e+001	-2.706566e+001	-3.335603e+002	1.163556e+002	5.906799e+000
4.800000e+001	-2.706487e+001	-3.346208e+002	1.167585e+002	6.205822e+000
5.000000e+001	-2.706638e+001	-3.397101e+002	1.186900e+002	3.610341e+000
5.200000e+001	-2.706779e+001	-3.473976e+002	1.216079e+002	6.643231e+000
5.400000e+001	-2.706725e+001	-3.401431e+002	1.188541e+002	2.998456e+000
5.600000e+001	-2.706791e+001	-3.496771e+002	1.224732e+002	6.917392e+000
5.800000e+001	-2.706654e+001	-3.505799e+002	1.228165e+002	3.160071e+000
6.000000e+001	-2.706786e+001	-3.461831e+002	1.211468e+002	7.014954e+000
6.200000e+001	-2.706692e+001	-3.246979e+002	1.129907e+002	3.338703e+000
6.400000e+001	-2.706636e+001	-3.386189e+002	1.182758e+002	4.059395e+000
6.600000e+001	-2.706585e+001	-3.340382e+002	1.165370e+002	3.387755e+000
6.800000e+001	-2.706660e+001	-3.543117e+002	1.242332e+002	3.402753e+000
7.000000e+001	-2.706632e+001	-3.414615e+002	1.193549e+002	3.371684e+000
7.200000e+001	-2.706459e+001	-3.356777e+002	1.171599e+002	3.364491e+000
7.400000e+001	-2.706480e+001	-3.271648e+002	1.139280e+002	3.438696e+000
7.600000e+001	-2.706582e+001	-3.266786e+002	1.137430e+002	3.534224e+000
7.800000e+001	-2.706550e+001	-3.186290e+002	1.106872e+002	5.586858e+000
8.000000e+001	-2.706670e+001	-3.362689e+002	1.173835e+002	6.891904e+000
8.200000e+001	-2.706520e+001	-3.574902e+002	1.254404e+002	4.420371e+000
8.400000e+001	-2.706544e+001	-3.483879e+002	1.219848e+002	4.151453e+000
8.600000e+001	-2.706702e+001	-3.504703e+002	1.227747e+002	3.800078e+000
8.800000e+001	-2.706736e+001	-3.806871e+002	1.342459e+002	8.770830e+000
9.000000e+001	-2.706514e+001	-3.401721e+002	1.188659e+002	5.518260e+000
9.200000e+001	-2.706616e+001	-3.432840e+002	1.200469e+002	4.136338e+000
9.400000e+001	-2.706628e+001	-3.600212e+002	1.264008e+002	5.549950e+000
9.600000e+001	-2.706505e+001	-3.506898e+002	1.228588e+002	4.027443e+000
9.800000e+001	-2.706493e+001	-3.380682e+002	1.180672e+002	4.019180e+000
1.000000e+002	-2.706635e+001	-3.436905e+002	1.202011e+002	5.717058e+000
1.020000e+002	-2.706531e+001	-3.338849e+002	1.164790e+002	4.029653e+000
1.040000e+002	-2.706753e+001	-3.562955e+002	1.249859e+002	9.685338e+000
1.060000e+002	-2.706897e+001	-3.526811e+002	1.236132e+002	5.485859e+000
1.080000e+002	-2.706841e+001	-3.694460e+002	1.299780e+002	4.988785e+000
1.100000e+002	-2.706826e+001	-3.525376e+002	1.235591e+002	4.716533e+000
1.120000e+002	-2.706784e+001	-3.281693e+002	1.143082e+002	3.933703e+000
1.140000e+002	-2.706745e+001	-3.049151e+002	1.054803e+002	6.170514e+000
1.160000e+002	-2.706783e+001	-3.286378e+002	1.144860e+002	4.144525e+000
1.180000e+002	-2.706745e+001	-3.140290e+002	1.089402e+002	5.595522e+000
1.200000e+002	-2.706972e+001	-3.245877e+002	1.129478e+002	4.471118e+000
1.220000e+002	-2.706775e+001	-3.294543e+002	1.147960e+002	5.088515e+000
1.240000e+002	-2.706853e+001	-3.420922e+002	1.195935e+002	5.253163e+000
1.260000e+002	-2.706904e+001	-3.623786e+002	1.272947e+002	6.438022e+000
1.280000e+002	-2.706835e+001	-3.665661e+002	1.288847e+002	7.133539e+000
1.300000e+002	-2.706742e+001	-3.560229e+002	1.248825e+002	4.050227e+000
1.320000e+002	-2.706890e+001	-3.563829e+002	1.250186e+002	8.595509e+000
1.340000e+002	-2.706834e+001	-3.344520e+002	1.166931e+002	4.740258e+000
1.360000e+002	-2.706821e+001	-3.651388e+002	1.283429e+002	4.367256e+000
1.380000e+002	-2.707077e+001	-3.676989e+002	1.293138e+002	5.992986e+000
1.400000e+002	-2.706781e+001	-3.264608e+002	1.136596e+002	6.463404e+000
1.420000e+002	-2.707043e+001	-3.525317e+002	1.235560e+002	4.360287e+000
1.440000e+002	-2.706931e+001	-3.565756e+002	1.250916e+002	6.697500e+000
1.460000e+002	-2.706888e+001	-3.489152e+002	1.221836e+002	4.304133e+000
1.480000e+002	-2.706895e+001	-3.085440e+002	1.068573e+002	6.578551e+000
1.500000e+002	-2.706896e+001	-3.539909e+002	1.241105e+002	4.357109e+000
1.520000e+002	-2.707056e+001	-3.390294e+002	1.184300e+002	4.618500e+000
1.540000e+002	-2.706803e+001	-3.521762e+002	1.234219e+002	4.664142e+000
1.560000e+002	-2.706976e+001	-3.674764e+002	1.292297e+002	5.174589e+000
1.580000e+002	-2.706740e+001	-3.524388e+002	1.235218e+002	4.732770e+000
1.600000e+002	-2.706777e+001	-3.605352e+002	1.265954e+002	4.835515e+000
1.620000e+002	-2.706708e+001	-3.302605e+002	1.151024e+002	1.015353e+001
1.640000e+002	-2.706795e+001	-3.458119e+002	1.210058e+002	5.084337e+000
1.660000e+002	-2.706749e+001	-3.601045e+002	1.264320e+002	4.970148e+000
1.680000e+002	-2.706752e+001	-3.693761e+002	1.299518e+002	6.921113e+000
1.700000e+002	-2.706743e+001	-3.366228e+002	1.175176e+002	6.705610e+000
1.720000e+002	-2.706787e+001	-3.629726e+002	1.275207e+002	5.010181e+000
1.740000e+002	-2.706832e+001	-3.691496e+002	1.298655e+002	6.066894e+000
1.760000e+002	-2.706738e+001	-3.619613e+002	1.271369e+002	5.481848e+000
1.780000e+002	-2.706746e+001	-3.556143e+002	1.247274e+002	7.797929e+000
1.800000e+002	-2.706714e+001	-3.577771e+002	1.255485e+002	6.806148e+000
1.820000e+002	-2.706702e+001	-3.573851e+002	1.253998e+002	5.311174e+000
1.840000e+002	-2.706455e+001	-3.330096e+002	1.161470e+002	5.682522e+000
1.860000e+002	-2.706526e+001	-3.302532e+002	1.151003e+002	6.807332e+000
1.880000e+002	-2.706536e+001	-3.221729e+002	1.120327e+002	5.416096e+000
1.900000e+002	-2.706646e+001	-3.324042e+002	1.159164e+002	5.598230e+000
1.920000e+002	-2.706609e+001	-3.324656e+002	1.159399e+002	8.377477e+000
1.940000e+002	-2.706517e+001	-3.378058e+002	1.179675e+002	7.865418e+000
1.960000e+002	-2.706511e+001	-3.579916e+002	1.256307e+002	5.617763e+000
1.980000e+002	-2.706594e+001	-3.617868e+002	1.270712e+002	7.338188e+000
2.000000e+002	-2.706460e+001	-3.658390e+002	1.286101e+002	5.737653e+000
