TIME	H	V	T	P
0.000000e+000	1.196482e+003	-1.250239e+003	9.288570e+002	-1.174975e-025
2.000000e+000	1.196541e+003	-8.597904e+001	4.868873e+002	5.497121e+001
4.000000e+000	1.196536e+003	-1.017071e+002	4.928566e+002	2.946801e+001
6.000000e+000	1.196535e+003	-1.355938e+002	5.057205e+002	1.886168e+001
8.000000e+000	1.196543e+003	-1.049110e+002	4.940753e+002	1.431051e+001
1.000000e+001	1.196540e+003	-9.718774e+001	4.911422e+002	1.938611e+001
1.200000e+001	1.196537e+003	-1.025849e+002	4.931899e+002	1.676483e+001
1.400000e+001	1.196546e+003	-6.589570e+001	4.792652e+002	1.997970e+001
1.600000e+001	1.196550e+003	-9.754666e+001	4.912823e+002	1.856827e+001
1.800000e+001	1.196544e+003	-1.042175e+002	4.938127e+002	1.778716e+001
2.000000e+001	1.196549e+003	-9.264559e+001	4.894214e+002	1.756573e+001
2.200000e+001	1.196555e+003	-1.023183e+002	4.930956e+002	1.456182e+001
2.400000e+001	1.196553e+003	-1.050637e+002	4.941373e+002	1.559072e+001
2.600000e+001	1.196557e+003	-9.187502e+001	4.891317e+002	2.329275e+001
2.800000e+001	1.196553e+003	-1.013950e+002	4.927446e+002	1.993304e+001
3.000000e+001	1.196553e+003	-5.315104e+001	4.744295e+002	3.059737e+001
3.200000e+001	1.196551e+003	-5.161085e+001	4.738441e+002	2.658123e+001
3.400000e+001	1.196555e+003	-6.999410e+001	4.808244e+002	3.168003e+001
3.600000e+001	1.196557e+003	-8.262059e+001	4.856187e+002	1.838503e+001
3.800000e+001	1.196556e+003	-9.519435e+001	4.903917e+002	2.428587e+001
4.000000e+001	1.196559e+003	-9.857276e+001	4.916754e+002	2.182147e+001
4.200000e+001	1.196557e+003	-9.059493e+001	4.886460e+002	2.143835e+001
4.400000e+001	1.196559e+003	-9.026542e+001	4.885216e+002	2.478080e+001
4.600000e+001	1.196561e+003	-9.922584e+001	4.919239e+002	1.843343e+001
4.800000e+001	1.196560e+003	-9.165919e+001	4.890512e+002	2.298977e+001
5.000000e+001	1.196563e+003	-8.444489e+001	4.863135e+002	2.724229e+001
5.200000e+001	1.196566e+003	-8.612667e+001	4.869529e+002	2.026790e+001
5.400000e+001	1.196567e+003	-1.027391e+002	4.932602e+002	1.722546e+001
5.600000e+001	1.196567e+003	-1.025575e+002	4.931911e+002	2.244158e+001
5.800000e+001	1.196577e+003	-4.583051e+001	4.716594e+002	2.799097e+001
6.000000e+001	1.196569e+003	-8.043223e+001	4.847924e+002	1.947091e+001
6.200000e+001	1.196569e+003	-9.107906e+001	4.888341e+002	1.251365e+001
6.400000e+001	1.196574e+003	-7.683000e+001	4.834268e+002	2.128702e+001
6.600000e+001	1.196581e+003	-4.996562e+001	4.732309e+002	2.279731e+001
6.800000e+001	1.196574e+003	-1.053582e+002	4.942570e+002	1.636879e+001
7.000000e+001	1.196567e+003	-1.090391e+002	4.956517e+002	1.924991e+001
7.200000e+001	1.196565e+003	-9.762126e+001	4.913165e+002	2.156485e+001
7.400000e+001	1.196570e+003	-6.919442e+001	4.805264e+002	2.360698e+001
7.600000e+001	1.196569e+003	-8.859065e+001	4.878894e+002	2.403435e+001
7.800000e+001	1.196561e+003	-9.339034e+001	4.897086e+002	2.264817e+001
8.000000e+001	1.196551e+003	-8.478167e+001	4.864366e+002	1.876742e+001
8.200000e+001	1.196551e+003	-9.497785e+001	4.903074e+002	1.794954e+001
8.400000e+001	1.196545e+003	-9.294993e+001	4.895353e+002	1.703906e+001
8.600000e+001	1.196546e+003	-8.132623e+001	4.851229e+002	2.020583e+001
8.800000e+001	1.196532e+003	-9.585409e+001	4.906329e+002	1.790300e+001
9.000000e+001	1.196547e+003	-7.974801e+001	4.845243e+002	1.802634e+001
9.200000e+001	1.196529e+003	-9.529657e+001	4.904203e+002	2.144851e+001
9.400000e+001	1.196531e+003	-9.019212e+001	4.884831e+002	2.963987e+001
9.600000e+001	1.196524e+003	-8.685038e+001	4.872119e+002	2.138026e+001
9.800000e+001	1.196533e+003	-9.648312e+001	4.908722e+002	2.417872e+001
1.000000e+002	1.196537e+003	-7.890386e+001	4.841998e+002	2.472389e+001
1.020000e+002	1.196553e+003	-1.055816e+002	4.943340e+002	1.781704e+001
1.040000e+002	1.196555e+003	-1.123231e+002	4.968938e+002	1.906475e+001
1.060000e+002	1.196553e+003	-9.032380e+001	4.885415e+002	1.946583e+001
1.080000e+002	1.196558e+003	-8.357932e+001	4.859830e+002	1.698100e+001
1.100000e+002	1.196547e+003	-7.856344e+001	4.840745e+002	1.941690e+001
1.120000e+002	1.196550e+003	-4.963785e+001	4.730946e+002	2.038296e+001
1.140000e+002	1.196545e+003	-1.039495e+002	4.937112e+002	1.279646e+001
1.160000e+002	1.196553e+003	-8.852165e+001	4.878572e+002	2.178953e+001
1.180000e+002	1.196555e+003	-7.671401e+001	4.833753e+002	2.664545e+001
1.200000e+002	1.196553e+003	-1.090701e+002	4.956581e+002	1.800498e+001
1.220000e+002	1.196555e+003	-1.035586e+002	4.935667e+002	1.917318e+001
1.240000e+002	1.196553e+003	-9.779150e+001	4.913765e+002	3.030066e+001
1.260000e+002	1.196547e+003	-1.052503e+002	4.942058e+002	1.890509e+001
1.280000e+002	1.196550e+003	-8.683448e+001	4.872156e+002	2.244910e+001
1.300000e+002	1.196544e+003	-1.006505e+002	4.924584e+002	1.314342e+001
1.320000e+002	1.196556e+003	-8.484998e+001	4.864647e+002	1.903610e+001
1.340000e+002	1.196548e+003	-8.969085e+001	4.882992e+002	2.576244e+001
1.360000e+002	1.196545e+003	-9.655112e+001	4.909027e+002	2.198169e+001
1.380000e+002	1.196556e+003	-1.026571e+002	4.932246e+002	1.506874e+001
1.400000e+002	1.196548e+003	-9.447896e+001	4.901171e+002	2.689371e+001
1.420000e+002	1.196561e+003	-1.073910e+002	4.950237e+002	2.050681e+001
1.440000e+002	1.196559e+003	-9.644710e+001	4.908685e+002	2.457591e+001
1.460000e+002	1.196556e+003	-1.097304e+002	4.959100e+002	1.557046e+001
1.480000e+002	1.196548e+003	-1.019620e+002	4.929576e+002	1.627924e+001
1.500000e+002	1.196546e+003	-8.210956e+001	4.854202e+002	2.582624e+001
1.520000e+002	1.196552e+003	-7.325131e+001	4.820597e+002	2.069215e+001
1.540000e+002	1.196572e+003	-9.575575e+001	4.906110e+002	2.191283e+001
1.560000e+002	1.196585e+003	-6.868200e+001	4.803378e+002	2.501989e+001
1.580000e+002	1.196566e+003	-1.137109e+002	4.974247e+002	1.392950e+001
